,location,date,total_deaths
462,Argentina,2020-04-02,31
463,Argentina,2020-04-03,34
464,Argentina,2020-04-04,37
465,Argentina,2020-04-05,43
466,Argentina,2020-04-06,46
467,Argentina,2020-04-07,53
468,Argentina,2020-04-08,60
469,Argentina,2020-04-09,65
470,Argentina,2020-04-10,79
471,Argentina,2020-04-11,82
472,Argentina,2020-04-12,89
473,Argentina,2020-04-13,95
474,Argentina,2020-04-14,98
475,Argentina,2020-04-15,105
476,Argentina,2020-04-16,109
477,Argentina,2020-04-17,115
478,Argentina,2020-04-18,122
479,Argentina,2020-04-19,132
480,Argentina,2020-04-20,134
481,Argentina,2020-04-21,142
482,Argentina,2020-04-22,151
483,Argentina,2020-04-23,159
484,Argentina,2020-04-24,165
485,Argentina,2020-04-25,167
486,Argentina,2020-04-26,185
487,Argentina,2020-04-27,186
488,Argentina,2020-04-28,197
489,Argentina,2020-04-29,207
490,Armenia,2019-12-31,0
491,Armenia,2020-01-01,0
492,Armenia,2020-01-02,0
493,Armenia,2020-01-03,0
494,Armenia,2020-01-04,0
495,Armenia,2020-01-05,0
496,Armenia,2020-01-06,0
497,Armenia,2020-01-07,0
498,Armenia,2020-01-08,0
499,Armenia,2020-01-09,0
500,Armenia,2020-01-10,0
501,Armenia,2020-01-11,0
502,Armenia,2020-01-12,0
503,Armenia,2020-01-13,0
504,Armenia,2020-01-14,0
505,Armenia,2020-01-15,0
506,Armenia,2020-01-16,0
507,Armenia,2020-01-17,0
508,Armenia,2020-01-18,0
509,Armenia,2020-01-19,0
510,Armenia,2020-01-20,0
511,Armenia,2020-01-21,0
512,Armenia,2020-01-22,0
513,Armenia,2020-01-23,0
514,Armenia,2020-01-24,0
515,Armenia,2020-01-25,0
516,Armenia,2020-01-26,0
517,Armenia,2020-01-27,0
518,Armenia,2020-01-28,0
519,Armenia,2020-01-29,0
520,Armenia,2020-01-30,0
521,Armenia,2020-01-31,0
522,Armenia,2020-02-01,0
523,Armenia,2020-02-02,0
524,Armenia,2020-02-03,0
525,Armenia,2020-02-04,0
526,Armenia,2020-02-05,0
527,Armenia,2020-02-06,0
528,Armenia,2020-02-07,0
529,Armenia,2020-02-08,0
530,Armenia,2020-02-09,0
531,Armenia,2020-02-10,0
532,Armenia,2020-02-11,0
533,Armenia,2020-02-12,0
534,Armenia,2020-02-13,0
535,Armenia,2020-02-14,0
536,Armenia,2020-02-15,0
537,Armenia,2020-02-16,0
538,Armenia,2020-02-17,0
539,Armenia,2020-02-18,0
540,Armenia,2020-02-19,0
541,Armenia,2020-02-20,0
542,Armenia,2020-02-21,0
543,Armenia,2020-02-22,0
544,Armenia,2020-02-23,0
545,Armenia,2020-02-24,0
546,Armenia,2020-02-25,0
547,Armenia,2020-02-26,0
548,Armenia,2020-02-27,0
549,Armenia,2020-02-28,0
550,Armenia,2020-02-29,0
551,Armenia,2020-03-01,0
552,Armenia,2020-03-02,0
553,Armenia,2020-03-12,0
554,Armenia,2020-03-13,0
555,Armenia,2020-03-14,0
556,Armenia,2020-03-15,0
557,Armenia,2020-03-16,0
558,Armenia,2020-03-17,0
559,Armenia,2020-03-18,0
560,Armenia,2020-03-19,0
561,Armenia,2020-03-20,0
562,Armenia,2020-03-21,0
563,Armenia,2020-03-22,0
564,Armenia,2020-03-23,0
565,Armenia,2020-03-24,0
566,Armenia,2020-03-25,0
567,Armenia,2020-03-26,0
568,Armenia,2020-03-27,1
569,Armenia,2020-03-28,1
570,Armenia,2020-03-29,3
571,Armenia,2020-03-30,3
572,Armenia,2020-03-31,3
573,Armenia,2020-04-01,3
574,Armenia,2020-04-02,3
575,Armenia,2020-04-03,4
576,Armenia,2020-04-04,7
577,Armenia,2020-04-05,7
578,Armenia,2020-04-06,7
